carrier_id,carrier_column,galaxy,split,formula_family,n_points,rmse_carrier,rmse_tpg_v6,rmse_newtonian_baryonic,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_carrier,matched_minus_tpg_v6,matched_minus_newtonian_baryonic,matched_minus_mond,matched_beats_wrong_mean,matched_beats_carrier,matched_beats_tpg_v6,matched_beats_newtonian_baryonic,matched_beats_mond
tpg_v6,v_v6,CamB,holdout,K_scale_tail_spiral,9,13.63779853730796,13.63779853730796,3.3556068721726025,15.623524086441458,19.721962031071975,91.24387932409023,K_exponential_disk,3,248.9382106571476,19.721962031071975,11.890911114992267,12.902516200130803,-71.52191729301825,6.084163493764015,6.084163493764015,16.366355158899374,4.098437944630517,True,False,False,False,False
tpg_v6,v_v6,ESO116-G012,holdout,K_exponential_disk,15,11.508201668011028,11.508201668011028,46.78642194708297,9.108666488881621,13.446279755293979,23.697261954636655,K_scale_tail_spiral,3,49.01712097706982,9.66930309984049,13.446279755293979,12.405361786999645,-10.250982199342676,1.9380780872829515,1.9380780872829515,-33.34014219178899,4.337613266412358,True,False,False,True,False
tpg_v6,v_v6,F561-1,holdout,K_scale_tail_spiral,6,28.55685188052471,28.55685188052471,9.593416723190401,32.526019723976546,30.72961132456212,44.585671243755485,K_exponential_disk,3,81.74176586464753,30.72961132456212,25.031727762892007,26.983520103726917,-13.856059919193363,2.1727594440374105,2.1727594440374105,21.13619460137172,-1.7964083994144247,True,False,False,False,True
tpg_v6,v_v6,F563-1,holdout,K_scale_tail_spiral,17,24.695833689633552,24.695833689633552,62.47755725522295,18.44568739642176,22.617853241287115,25.519663333650048,K_compact_finite,2,19.411022370330794,22.617853241287115,30.260930164235255,26.887037466384104,-2.9018100923629326,-2.0779804483464375,-2.0779804483464375,-39.85970401393583,4.172165844865354,True,True,True,True,False
tpg_v6,v_v6,F568-1,holdout,K_thick_flared,12,33.500610533676024,33.500610533676024,69.86283183130358,29.974188853658532,34.955430288199395,29.55354010937246,K_compact_finite,3,20.71531726578376,31.176877091120875,36.76842597121274,34.955430288199395,5.401890178826935,1.4548197545233705,1.4548197545233705,-34.907401543104186,4.981241434540863,False,False,False,True,False
tpg_v6,v_v6,IC2574,holdout,K_scale_tail_spiral,34,7.5138151552258,7.5138151552258,23.78354699928544,13.51316984455882,10.566965630734453,26.75293889801284,K_exponential_disk,3,71.62700758214562,10.566965630734453,3.1133225699753826,5.518486541917512,-16.185973267278385,3.0531504755086525,3.0531504755086525,-13.216581368550989,-2.946204213824368,True,False,False,True,True
tpg_v6,v_v6,IC4202,holdout,K_compact_finite,32,26.101514959176914,26.101514959176914,69.1215936942972,26.12803028857914,25.94895537395008,26.376477777204897,K_compact_finite,1,25.94895537395008,25.95260689286135,26.776836471199115,26.39998996755423,-0.42752240325481594,-0.15255958522683244,-0.15255958522683244,-43.17263832034712,-0.17907491462905867,True,True,True,True,True
tpg_v6,v_v6,NGC0024,holdout,K_thick_flared,29,22.157814084096987,22.157814084096987,47.18129248016706,20.65262257294937,22.660175260822907,49.1700589416922,K_scale_tail_spiral,2,104.87062900210596,19.4023711952362,23.237176627734456,22.660175260822907,-26.50988368086929,0.5023611767259197,0.5023611767259197,-24.521117219344152,2.007552687873538,True,False,False,True,False
tpg_v6,v_v6,NGC2683,holdout,K_thick_flared,11,10.314830339812675,10.314830339812675,63.99459888504826,14.151015414510422,9.441655141326386,12.426749788320713,K_exponential_disk,2,17.28870570435926,10.834397635784631,9.157146024818244,9.441655141326386,-2.9850946469943267,-0.8731751984862886,-0.8731751984862886,-54.552943743721876,-4.709360273184036,True,True,True,True,True
tpg_v6,v_v6,NGC3726,holdout,K_thick_flared,12,23.631876746434497,23.631876746434497,50.40406506912891,26.325344741169783,22.32780920265615,26.68986153139954,K_exponential_disk,2,34.803704377123964,24.444812422394104,20.82106779468054,22.32780920265615,-4.362052328743388,-1.3040675437783449,-1.3040675437783449,-28.07625586647276,-3.997535538513631,True,True,True,True,True
tpg_v6,v_v6,NGC3949,holdout,K_thick_flared,7,8.950158230683527,8.950158230683527,28.51727644416544,11.297904622428334,8.55319084358932,22.645530043633567,K_exponential_disk,2,50.15654048051538,9.652397226533783,8.127652423851528,8.55319084358932,-14.092339200044247,-0.3969673870942074,-0.3969673870942074,-19.96408560057612,-2.7447137788390137,True,True,True,True,True
tpg_v6,v_v6,NGC3972,holdout,K_thick_flared,10,7.806428086864266,7.806428086864266,44.45959494291804,6.774747860896815,8.593962113335323,19.977775866378973,K_scale_tail_spiral,2,43.704937357513515,6.707975112059255,9.520415129564146,8.593962113335323,-11.38381375304365,0.7875340264710564,0.7875340264710564,-35.865632829582715,1.819214252438508,True,False,False,True,False
tpg_v6,v_v6,NGC4013,holdout,K_compact_finite,36,12.273912532057183,12.273912532057183,65.6912991112144,14.334222058319126,16.99356852880305,11.668540793425578,K_exponential_disk,4,16.99356852880305,12.733233099294065,10.880207082032726,11.39218219894994,5.325027735377471,4.719655996745866,4.719655996745866,-48.69773058241135,2.659346470483923,False,False,False,True,False
tpg_v6,v_v6,NGC4088,holdout,K_thick_flared,12,38.98773649865968,38.98773649865968,25.396289301523897,42.18384581680386,37.811387707787695,42.53175206180385,K_exponential_disk,2,51.33621019678367,39.77015631070587,36.488889677922,37.811387707787695,-4.720364354016155,-1.1763487908719839,-1.1763487908719839,12.415098406263798,-4.372458109016165,True,True,True,False,True
tpg_v6,v_v6,NGC4183,holdout,K_exponential_disk,23,6.489693491114096,6.489693491114096,48.41085618248364,10.354993594406714,6.224581287933666,13.760210864515452,K_thick_flared,2,28.09744430832445,7.3225980270534246,6.224581287933666,5.86059025816848,-7.535629576581786,-0.26511220318043005,-0.26511220318043005,-42.186274894549975,-4.1304123064730485,True,True,True,True,True
tpg_v6,v_v6,NGC4214,holdout,K_scale_tail_spiral,14,17.991047303306434,17.991047303306434,43.616236802795356,15.27888150484993,15.405984093871057,39.05954643661913,K_scale_tail_spiral,1,78.01089432719559,15.405984093871057,20.174500243655785,18.993244739006016,-23.653562342748074,-2.5850632094353774,-2.5850632094353774,-28.2102527089243,0.1271025890211277,True,True,True,True,False
tpg_v6,v_v6,NGC4389,holdout,K_thick_flared,6,46.55692853885728,46.55692853885728,23.5662941993844,48.50110279830857,45.987913835499185,67.05818976545275,K_exponential_disk,2,107.98214008267175,47.82928696479762,45.36314224888892,45.987913835499185,-21.070275929953567,-0.5690147033580928,-0.5690147033580928,22.421619636114784,-2.5131889628093873,True,True,True,False,True
