galaxy,inclination_deg,n_points,formula_family,rmse_tau_matched,rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,rmse_newton,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong,matched_minus_best_wrong,matched_beats_best_wrong,matched_family_rank,matched_minus_tpg_v6,matched_beats_tpg,matched_minus_mond,matched_beats_mond,matched_minus_newton,matched_beats_newton,matched_beats_wrong
CVnIdwA,66.5,14,K_scale_tail_spiral,7.199111262030665,41.79648826695802,6.505135061379994,8.69554413247,10.770684349628304,113.4096326098959,7.199111262030665,5.789835918176598,6.189996272801586,-34.59737700492736,1.409275343854067,False,3,0.6939762006506713,False,-1.4964328704393344,True,-3.5715730875976393,True,True
DDO_126,65.0,29,K_scale_tail_spiral,4.138917211980194,29.122951531140057,3.39331745475732,6.844852871291544,15.596570858084974,82.29909776636786,4.138917211980194,2.2753796836441205,2.7943771434081786,-24.984034319159864,1.8635375283360731,False,3,0.7455997572228736,False,-2.7059356593113506,True,-11.45765364610478,True,True
DDO_133,43.4,18,K_scale_tail_spiral,4.459084706382892,31.945934802898325,5.321804018496601,2.6963872462670646,22.5890821624271,82.92503684357422,4.459084706382892,6.8763196613903785,6.036447903730376,-27.486850096515433,-1.5773631973474842,True,1,-0.8627193121137093,True,1.762697460115827,False,-18.129997456044208,True,True
DDO_210,66.7,7,K_scale_tail_spiral,3.8680722481766594,120.64892262492857,1.2322391882345995,2.3969504230473975,4.433656828014135,360.05379900155657,3.8680722481766594,0.896522710907169,0.9964461623220134,-116.78085037675191,2.9715495372694907,False,3,2.63583305994206,False,1.471121825129262,False,-0.5655845798374752,True,True
DDO_216,63.7,12,K_scale_tail_spiral,5.013946367342401,66.40487953118742,4.003625721808804,5.655362068210084,6.474051833321746,191.63029087262723,5.013946367342401,3.812634316989274,3.77171340394576,-61.39093316384502,1.2422329633966407,False,3,1.0103206455335965,False,-0.6414157008676833,True,-1.4601054659793453,True,True
DDO_46,27.9,23,K_scale_tail_spiral,27.793984758392078,38.93144427139554,28.65202160245353,26.35056604552727,45.31925520811651,57.502808565995196,27.793984758392078,30.046587648520198,29.244936599671217,-11.137459513003463,-1.4509518412791387,True,1,-0.8580368440614521,True,1.4434187128648084,False,-17.52527044972443,True,True
DDO_47,45.5,33,K_scale_tail_spiral,11.655484179314053,22.939286105564616,13.20980417337956,9.767308291405287,33.29222959860202,38.922270107250995,11.655484179314053,15.671167983134582,14.224420226308274,-11.283801926250563,-2.568936046994221,True,1,-1.5543199940655068,True,1.8881758879087656,False,-21.63674541928797,True,True
DDO_50,49.7,64,K_scale_tail_spiral,26.608024216791847,36.59680054231736,26.194163818563048,30.442165749491657,11.125183775358137,60.0604723478581,26.608024216791847,24.449863449169403,25.280065829924567,-9.988776325525514,2.1581607676224444,False,3,0.41386039822879894,False,-3.8341415326998103,True,15.48284044143371,False,True
DDO_52,43.0,15,K_scale_tail_spiral,10.584824410325776,24.915853579154387,11.333532111742878,6.920308732682193,33.16063850861179,48.621339773436254,10.584824410325776,13.69538620165002,12.43083476237689,-14.33102916882861,-1.8460103520511133,True,1,-0.7487077014171017,True,3.6645156776435837,False,-22.575814098286013,True,True
DDO_53,27.0,12,K_scale_tail_spiral,6.68414690428751,54.172173946052766,5.714254784083218,7.108837919869776,9.636872380733935,152.2637505028986,6.68414690428751,4.90488913864608,5.347882196613617,-47.48802704176526,1.7792577656414297,False,3,0.9698921202042916,False,-0.4246910155822663,True,-2.9527254764464255,True,True
DDO_70,50.0,23,K_scale_tail_spiral,5.680358198180387,45.83628475764369,6.548007656636344,4.369610069931376,18.964774632132585,122.90429243852469,5.680358198180387,7.558864799483913,7.0456970349224814,-40.1559265594633,-1.3653388367420947,True,1,-0.8676494584559569,True,1.3107481282490108,False,-13.284416433952199,True,True
DDO_87,55.5,33,K_scale_tail_spiral,6.703958985321952,21.54724040938699,7.5601000836730075,2.1928195962976798,27.713898269968926,44.4463407853716,6.703958985321952,11.069205710731977,9.126174732057395,-14.843281424065038,-2.422215746735443,True,1,-0.8561410983510553,True,4.511139389024272,False,-21.009939284646975,True,True
F564-V3,56.5,10,K_scale_tail_spiral,9.90008899739094,37.402438849907504,11.303771795386076,7.446315140754394,22.608952330006716,84.58773777218859,9.90008899739094,15.026335455163343,12.593243322370567,-27.502349852516566,-2.693154324979627,True,1,-1.4036827979951365,True,2.4537738566365457,False,-12.708863332615776,True,True
