galaxy,split,formula_family,repair_priority,scale_radius_kpc,scale_radius_status,tail_inner_radius_kpc,tail_cutoff_radius_kpc,tail_observable_status,compact_support_radius_kpc,compact_observable_status,thickness_h_over_rs,thickness_observable_status,sparc_rhi_kpc,sparc_rdisk_kpc,sparc_reff_kpc,sparc_inclination_deg,distance_frac_error,s4g_model_components,s4g_disk_component_source,bar_radius_kpc,kernel_observable_provenance,accepted_endpoint_ready,endpoint_scores_computed,claim_boundary,promotion_override_status,promotion_override_source,promotion_override_previous_value,promotion_override_new_value
NGC5985,holdout,K_compact_finite,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,6.755726562541428,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,0.735239339935394,DIRECT_S4G_BULGE_RE_READY,,NOT_APPLICABLE,39.5,7.01,10.71,60.0,0.2493702770780856,B;D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;SPARC_Reff_used_as_compact_support_candidate_no_S4G_bulge_radius;direct_kernel_measurement_from_S4G_Table7:B:sersic_Re,True,False,s4g75_promoted_kernel_observable_fill_not_endpoint,DIRECT_KERNEL_MEASUREMENT_OVERRIDE,B:sersic_Re,10.71,0.735239339935394
UGC00891,holdout,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,1.1457784926099834,SOURCE_DERIVED_S4G_SPARC_SCALE,2.291556985219967,6.23,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,6.23,1.43,1.76,60.0,0.303921568627451,D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
UGC04499,holdout,K_scale_tail_spiral,P0_EXISTING_SCALE_PLUS_DISTANCE_AUDIT,1.058710840020998,SOURCE_DERIVED_S4G_SPARC_SCALE,2.117421680041996,8.67,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,8.67,1.73,2.69,50.0,0.3,D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
NGC4214,holdout,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,0.6464509120424529,SOURCE_DERIVED_S4G_SPARC_SCALE,1.2929018240849055,5.84,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,5.84,0.51,0.7,15.0,0.048780487804878,D;BAR,D:expdisk_hr3,1.1235667709015102,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
UGC05829,holdout,K_scale_tail_spiral,P1_INCLINATION_PROJECTION_REVIEW,1.7362519409099797,SOURCE_DERIVED_S4G_SPARC_SCALE,3.4725038818199594,7.87,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,,NOT_APPLICABLE,,NOT_APPLICABLE,7.87,1.99,2.91,34.0,0.2997685185185185,D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;tail_cutoff_from_SPARC_RHI;tail_inner_from_predeclared_disk_to_HI_transition_rule,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
NGC0024,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,1.39689723855784,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1321870886331353,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,7.29,1.34,2.01,64.0,0.0493150684931506,D;BAR,D:expdisk_hr3,0.4473468717729916,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
NGC2683,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,2.20964580039598,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.2024081922882335,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,13.79,2.18,3.34,80.0,0.0499490316004077,D;BAR;N,D:expdisk_hr3,3.871874219694534,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
NGC3726,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,4.362446514010629,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1308888760669076,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,22.2,3.4,7.52,53.0,0.1388888888888889,B;D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
NGC3949,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,1.4477492679154584,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1747677909708408,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,13.72,3.59,2.39,55.0,0.1388888888888889,B;D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
NGC3972,holdout,K_thick_flared,P1_VERTICAL_GEOMETRY_SOURCE,2.449567277564473,SOURCE_DERIVED_S4G_SPARC_SCALE,,,NOT_APPLICABLE,,NOT_APPLICABLE,0.1810276545251388,SOURCE_CONSTRAINED_FORMULA_CANDIDATE,10.05,2.18,3.73,77.0,0.1388888888888889,B;D,D:expdisk_hr3,,scale_radius_from_S4G_Pipeline4_x_SPARC_distance;predeclared_h_over_rs_from_inclination_and_HI_extent_no_direct_vertical_scale,False,False,s4g75_promoted_kernel_observable_fill_not_endpoint,NO_DIRECT_KERNEL_OVERRIDE,,,
