galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,mixed_formula_id,mixed_case_status,mixed_case_caveat,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC7331,17.07,233.0,3.0,189.68860661621193,258.9337137263979,262.6049364917023,255.15517591866885,0.0934382798889542,0.029470905011456338,251.36723169686047,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,18.15,234.0,3.0,187.2646016202742,259.4239513684044,262.9644852255123,255.58125993870206,0.10180506544492317,0.03210983139863115,251.44444530657094,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,19.24,236.0,3.0,185.5578518414136,260.4672396415138,263.9138214660044,256.5871408901271,0.10938057529575693,0.0344991854352487,252.12227063196286,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,20.32,237.0,3.0,183.2082060662131,260.7767758904177,264.13119862656526,256.86567667529397,0.1159049015265132,0.036556990853315915,252.1268460122111,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,21.41,238.0,3.0,179.29356494308433,259.5270072666978,262.77851838726025,255.5759361747634,0.12138470163643346,0.0382853474616905,250.63578410936609,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,22.49,240.0,3.0,175.52189236673584,258.24555884763237,261.43089249178166,254.26747048134717,0.12561319507210386,0.03961903563031164,249.17965159949975,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,23.48,238.0,3.0,172.5171474085982,257.3796494231502,260.54087467943197,253.392111098232,0.1283531939693691,0.04048324510986077,248.21005519077877,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,24.57,237.0,3.0,168.4120560411279,255.52989933574895,258.6915084812773,251.52817662359067,0.13002200789111382,0.041009597442416376,246.31665203690832,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,25.65,236.0,3.0,164.72852014754457,253.9254911642082,257.1309507134837,249.92282829699602,0.1301914570368543,0.04106304255810478,244.73774566257813,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,26.74,238.0,3.0,161.43043229205577,252.58432545770745,255.8728343893948,248.5937003042937,0.12877323397564744,0.040615727847564766,243.49296387883442,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,27.82,239.0,3.0,158.04190346234128,251.00784490862353,254.41686762439204,247.0326199865136,0.1262319782987417,0.039814202982670854,242.06496856901256,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,28.91,239.0,3.0,154.49986090608624,249.16223896276333,252.73462264692577,245.2050197175342,0.12377662940927124,0.03903977355206098,240.37099601202328,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,29.89,241.0,4.0,151.3289849962657,247.4033997746116,251.15827457743197,243.4656726220928,0.12169996610521534,0.03838478346612038,238.7472622202712,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,30.98,236.0,4.0,148.00584289142105,245.53623013354235,249.5280639290484,241.6263660339642,0.11952301903497121,0.037698163374243907,237.02817881487502,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,32.06,236.0,5.0,145.2041479090732,244.0882120987203,248.33546495949247,240.21669190753389,0.11749227469840164,0.03705765636237767,235.72374059316053,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,33.15,239.0,5.0,142.88869958817597,243.07467207524104,247.58984297597772,239.25261060440525,0.11555924585650064,0.036447969310649274,234.85200421880003,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,34.23,237.0,5.0,140.66870540386728,242.06212359212375,246.86487862419972,238.2917829829204,0.11374984139873627,0.03587727401354564,233.9781090733036,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,35.32,241.0,7.0,138.31511551526103,240.8277231265214,245.95198539700797,237.10856521688518,0.11202191728870338,0.03533227802930551,232.88210399726876,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
NGC7331,36.31,238.0,9.0,135.51705269079608,238.8845531814265,244.36523782508323,235.20069816634515,0.11053150090178843,0.034862193179514944,231.064523260455,NGC7331_EXPDISK_VERTICAL_OUTER_WARP_MIXED_FREEZE_V1,CAVEATED_FRESH_PROSPECTIVE_MIXED_PROTOCOL_SCORED,broad_outer_window_no_numeric_warp_onset,False,True,mixed_readout_population_endpoint_preliminary_control
